handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_ecffd7a7-be8c-c11f-e332-26ebf455b88c,Product,Drink Tea And Read Books,"<p>Drink Tea And Read Books</p><p>That's the combo!</p><p>Enamel Pin</p><p>1.2""W x 1""H</p>",f06efb_b1c92d5020f745dda06820ee741fa87c~mv2.png;f06efb_186a9c2656d347f2891cc24ea55cbf51~mv2.png,,Drink Tea,,6.99,,true,PERCENT,0.0,12,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Pin For That
product_f188176c-dbac-534e-e280-102fb60e7323,Product,Brains Are The New Tits,"<p>Brains Are The New Tits</p><p>You agree?</p><p>Enamel Pin</p><p>1""W x 1.2""H</p>",f06efb_48067247805a4b819f4b40d9cab5db3c~mv2.png,,Brains,,6.99,,true,PERCENT,0.0,12,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Pin For That
product_d116e1c0-611d-b2a5-5935-de84932fc25d,Product,You Are Worth It,"<p>You Are Worth It.</p><p>Yup, You Are.&nbsp;</p><p>&nbsp;</p><p>Enamel Pin</p><p>1.5""W x 1.1""H</p>",f06efb_b37c10aef3f34f4e98b394c4c236156e~mv2.png;f06efb_48428362cfc84269a51f8227f39a14ff~mv2.png,our faves;sale,Worth It,,6.99,,true,PERCENT,0.0,10,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Pin For That
product_c04526d5-ff51-3f84-f434-05696fe08562,Product,Home Is Where The Wifi Connects Automatically,"<p>Home is Where The Wifi Connects Automatically&nbsp;</p><p>Enamel Pin</p><p>1.2""W x 1""H</p><p>&nbsp;</p>",f06efb_e7580d7222db4a86a86f1569fc36c375~mv2.png;f06efb_65baf40a6b66457f9ed59e1fd8d78a12~mv2.png,sale,Wifi,,6.99,,true,PERCENT,0.0,10,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Pin For That
product_e25f5fac-334a-0fb7-c3a4-a1854cf12b5a,Product,You Need To Calm Down,"<p>You Need To Calm Down</p><p>( You don't want wrinkles, do you?)</p><p>Enamel Pin&nbsp;</p><p>.74""W x 1""H</p><p>&nbsp;</p>",f06efb_c6d3b4e416e7412ca4a8dab1196069a9~mv2.png,sale,Calm Down,,6.99,,true,PERCENT,0.0,10,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Pin For That
product_b164fec1-3f96-f8de-efd8-0e3b043bfb53,Product,Don't Talk To Me,"<p>Don't Talk To Me</p><p>&nbsp;</p><p>Enamel Pin</p><p>.8""W x 1.2""H</p>",f06efb_19b3f170894f4989a7d43c50d9baf090~mv2.png;f06efb_d91827653d4b4a90b0a7feb60d0c6578~mv2.png,our faves,Talk,,6.99,,true,PERCENT,0.0,10,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Pin For That
product_f605bd4b-cb03-f5ea-4c44-06550e790c9d,Product,Green Thumb,"<p>Green Thumb</p><p>Enamel Pin</p><p>1.1""W x 1.2""H</p>",f06efb_881aff84266d400f85a2ab17f368f59c~mv2.png;f06efb_a2e944cc4a194043ab4979c261a92842~mv2.png,,Green Thumb,,6.99,,true,PERCENT,0.0,10,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Pin For That
product_63a6d053-103b-bd71-2357-b9c92e0377f0,Product,Not A Hugger,"<p>Not A Hugger - Cactus</p><p>Enamel Pin</p><p>1""W x 1.2""H</p>",f06efb_68c51236db6d4e2489d7082cfb9e00a7~mv2.png,our faves,Cactus,,6.99,,true,PERCENT,0.0,9,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Pin For That
product_5b33edf1-18be-5456-d57c-5f7fa3a5df25,Product,Save Yourself,"<p>Save Yourself</p><p>No, really.&nbsp; You got this!</p><p>&nbsp;</p><p>Enamel Pin</p><p>.5""W x 1.2""H</p>",f06efb_1505be21d7034140a923e83bfb998a31~mv2.png,our faves,Save Yourself,,6.99,,true,PERCENT,0.0,9,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Pin For That
product_4172a8ae-3e2d-3915-854b-5e55765f4d4c,Product,If I Die Water My Plants,"<p>If I Die Water My Plants</p><p>We know it's not just us?</p><p>Enamel Pin</p><p>.8""W x 1.2""H</p>",f06efb_48534efd14e34a5d9894fd8b6e1b902f~mv2.png,sale,Monstera,,6.99,,true,PERCENT,0.0,9,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Pin For That
product_c0c477db-5cba-d9e5-2c9f-3e008a71dd1a,Product,Just One More Chapter,"<p>Just One More Chapter</p><p>If You Know, You Know.</p><p>Enamel Pin</p><p>1.5""W x 1.1""H</p>",f06efb_896f81330ade41ec9c813d9c0e599c47~mv2.png;f06efb_dc971d4da8d04fc1b4173aa8e4d561cb~mv2.png,our faves;sale,One More,,6.99,,true,PERCENT,0.0,10,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Pin For That
